datetime,Predicted_Usage_kW
2017-06-24 00:00:00,1.2740317481368781
2017-06-24 01:00:00,1.2804398308843374
2017-06-24 02:00:00,1.2843532922655345
2017-06-24 03:00:00,1.287044983318448
2017-06-24 04:00:00,1.2921275910943748
2017-06-24 05:00:00,1.299498491206765
2017-06-24 06:00:00,1.3068419990956783
2017-06-24 07:00:00,1.3134482317864895
2017-06-24 08:00:00,1.3195222837299108
2017-06-24 09:00:00,1.3253265801429748
2017-06-24 10:00:00,1.3308514758765697
2017-06-24 11:00:00,1.3361985922217368
2017-06-24 12:00:00,1.3413802749693393
2017-06-24 13:00:00,1.3464221416354178
2017-06-24 14:00:00,1.3513527418613434
2017-06-24 15:00:00,1.3562211501657961
2017-06-24 16:00:00,1.3609657919168472
2017-06-24 17:00:00,1.3656241674542426
2017-06-24 18:00:00,1.3701847025990486
2017-06-24 19:00:00,1.3746770272493363
2017-06-24 20:00:00,1.379135709619522
2017-06-24 21:00:00,1.3835366754174232
2017-06-24 22:00:00,1.3878607886672019
2017-06-24 23:00:00,1.3921000246047972
2017-06-25 00:00:00,1.3963159578621387
2017-06-25 01:00:00,1.4005065822482108
2017-06-25 02:00:00,1.4046740582764148
2017-06-25 03:00:00,1.4088162254333496
2017-06-25 04:00:00,1.412932312107086
2017-06-25 05:00:00,1.417024170166254
2017-06-25 06:00:00,1.4210928798675537
2017-06-25 07:00:00,1.4251385955333709
2017-06-25 08:00:00,1.4291616258084774
2017-06-25 09:00:00,1.4331624336600304
2017-06-25 10:00:00,1.4371417906999588
2017-06-25 11:00:00,1.44110015989542
2017-06-25 12:00:00,1.445038312858343
2017-06-25 13:00:00,1.4489567125558853
2017-06-25 14:00:00,1.4528561305999754
2017-06-25 15:00:00,1.4567373386025428
2017-06-25 16:00:00,1.4606009538531304
2017-06-25 17:00:00,1.4644472849965096
2017-06-25 18:00:00,1.4682772579669952
2017-06-25 19:00:00,1.4720914900541304
2017-06-25 20:00:00,1.4758905985474586
2017-06-25 21:00:00,1.4796752007365226
2017-06-25 22:00:00,1.4834459139108658
2017-06-25 23:00:00,1.4872030467152595
2017-06-26 00:00:00,1.4909475250840187
2017-06-26 01:00:00,1.4946799663066863
2017-06-26 02:00:00,1.4984006790280342
2017-06-26 03:00:00,1.502110434859991
2017-06-26 04:00:00,1.5058096967697143
2017-06-26 05:00:00,1.5094989277243613
2017-06-26 06:00:00,1.5131787450134753
2017-06-26 07:00:00,1.5168496116042136
2017-06-26 08:00:00,1.5205122991085052
2017-06-26 09:00:00,1.5241672704935074
2017-06-26 10:00:00,1.5278148344039917
2017-06-26 11:00:00,1.5314556081295012
2017-06-26 12:00:00,1.5350899003148077
2017-06-26 13:00:00,1.538718636894226
2017-06-26 14:00:00,1.542341817867756
2017-06-26 15:00:00,1.545960369169712
2017-06-26 16:00:00,1.5495745994448662
2017-06-26 17:00:00,1.5531848173379899
2017-06-26 18:00:00,1.5567919487833977
2017-06-26 19:00:00,1.5603959937810896
2017-06-26 20:00:00,1.5639978782653807
2017-06-26 21:00:00,1.5675976022362708
2017-06-26 22:00:00,1.5711960916280745
2017-06-26 23:00:00,1.5747936550855637
2017-06-27 00:00:00,1.5783906012535094
2017-06-27 01:00:00,1.5819878560662268
2017-06-27 02:00:00,1.585585419523716
2017-06-27 03:00:00,1.5891839089155197
2017-06-27 04:00:00,1.5927836328864098
2017-06-27 05:00:00,1.5963855173707007
2017-06-27 06:00:00,1.5999895623683928
2017-06-27 07:00:00,1.6035963851690291
2017-06-27 08:00:00,1.6072066030621528
2017-06-27 09:00:00,1.6108205246925353
2017-06-27 10:00:00,1.61443876734972
2017-06-27 11:00:00,1.6180616396784782
2017-06-27 12:00:00,1.6216894503235817
2017-06-27 13:00:00,1.625323125219345
2017-06-27 14:00:00,1.62896297301054
2017-06-27 15:00:00,1.632609302341938
2017-06-27 16:00:00,1.6362627305030821
2017-06-27 17:00:00,1.6399238747835159
2017-06-27 18:00:00,1.6435930438280104
2017-06-27 19:00:00,1.6472705462813377
2017-06-27 20:00:00,1.6509573080778122
2017-06-27 21:00:00,1.654653329217434
2017-06-27 22:00:00,1.6583595356345175
2017-06-27 23:00:00,1.662076235973835
2017-06-28 00:00:00,1.665804047524929
2017-06-28 01:00:00,1.669543587577343
2017-06-28 02:00:00,1.6732951647758483
2017-06-28 03:00:00,1.6770590877652167
2017-06-28 04:00:00,1.680836282479763
2017-06-28 05:00:00,1.68462736620903
2017-06-28 06:00:00,1.6884326475977898
2017-06-28 07:00:00,1.692252743935585
2017-06-28 08:00:00,1.6960879638671875
2017-06-28 09:00:00,1.6999392333269119
2017-06-28 10:00:00,1.7038068609595298
2017-06-28 11:00:00,1.7076917726993561
2017-06-28 12:00:00,1.711594277191162
2017-06-28 13:00:00,1.715514991724491
2017-06-28 14:00:00,1.7194545335888862
2017-06-28 15:00:00,1.7234135200738907
2017-06-28 16:00:00,1.7273925684690474
2017-06-28 17:00:00,1.7313922960638999
2017-06-28 18:00:00,1.7354136287927626
2017-06-28 19:00:00,1.7394568753004074
2017-06-28 20:00:00,1.7435229615211487
2017-06-28 21:00:00,1.7476121960997582
2017-06-28 22:00:00,1.7517255049705505
2017-06-28 23:00:00,1.7558638140678404
2017-06-29 00:00:00,1.7600274320363998
2017-06-29 01:00:00,1.7642169761657713
2017-06-29 02:00:00,1.7684336810350418
2017-06-29 03:00:00,1.7726778552889824
2017-06-29 04:00:00,1.7769507335066794
2017-06-29 05:00:00,1.7812529329776763
2017-06-29 06:00:00,1.785585070991516
2017-06-29 07:00:00,1.7899480734825133
2017-06-29 08:00:00,1.794342866384983
2017-06-29 09:00:00,1.798770066988468
2017-06-29 10:00:00,1.803230909872055
2017-06-29 11:00:00,1.8077260123252867
2017-06-29 12:00:00,1.8122563002824783
2017-06-29 13:00:00,1.8168226996779442
2017-06-29 14:00:00,1.8214261364459992
2017-06-29 15:00:00,1.8260678451657295
2017-06-29 16:00:00,1.8307484431266785
2017-06-29 17:00:00,1.8354691649079322
2017-06-29 18:00:00,1.8402312450885772
2017-06-29 19:00:00,1.8450353009581566
2017-06-29 20:00:00,1.8498825670957564
2017-06-29 21:00:00,1.8547742780804632
2017-06-29 22:00:00,1.8597116684913635
2017-06-29 23:00:00,1.8646956642627714
2017-06-30 00:00:00,1.8697274999737739
2017-06-30 01:00:00,1.8748084102034568
2017-06-30 02:00:00,1.8799399381756783
2017-06-30 03:00:00,1.8851230098247527
2017-06-30 04:00:00,1.8903591683745384
2017-06-30 05:00:00,1.8956496484041214
2017-06-30 06:00:00,1.9009959931373597
2017-06-30 07:00:00,1.906399745798111
2017-06-30 08:00:00,1.9118621409654617
2017-06-30 09:00:00,1.9173850305080413
2017-06-30 10:00:00,1.9229696490049362
2017-06-30 11:00:00,1.928617539680004
2017-06-30 12:00:00,1.9343305544018745
2017-06-30 13:00:00,1.9401102363944054
2017-06-30 14:00:00,1.945958437526226
2017-06-30 15:00:00,1.951877009665966
2017-06-30 16:00:00,1.9578678046822546
2017-06-30 17:00:00,1.9639326744437218
2017-06-30 18:00:00,1.9700734708189964
2017-06-30 19:00:00,1.9762923543214796
2017-06-30 20:00:00,1.9825914854645728
2017-06-30 21:00:00,1.988972716116905
2017-06-30 22:00:00,1.9954382067918777
2017-06-30 23:00:00,2.001990426647663
